mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
150.35735948880514,0.6638737643409357,0.15905213356018066,0.006577140371245935,300,20,1,0.02,40,entropy,True,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 0.02, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': True}",0.8158939071991538,0.8132281441221599,0.8105678098479859,0.8132299537230998,0.0021743705149645737,79
179.14503741264343,0.18032559321699715,0.19969511032104492,0.004483792890653119,300,5,1,0.02,40,gini,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.02, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}",0.8509554614282623,0.8384160862299898,0.8363233575640209,0.8418983017407576,0.006461113656383673,2
144.3742314974467,0.7673422787940237,0.1510756015777588,0.012124671216873528,300,20,4,0.02,80,entropy,True,"{'n_estimators': 300, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': True}",0.8174590816039429,0.8174665435677912,0.815441739757842,0.8167891216431921,0.0009527477381949016,67
2960.561335245768,12.742470583179685,0.37386663754781085,0.012586075848909072,800,10,8,0.1,80,entropy,False,"{'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.1, 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False}",0.8346659591395571,0.820750583107097,0.8239097827634556,0.8264421083367033,0.005956449005791063,39
94.55243508021037,0.34441278979653006,0.1807252566019694,0.00362321336817392,300,2,4,0.02,80,gini,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.02, 'max_depth': 80, 'criterion': 'gini', 'bootstrap': True}",0.8223127597267146,0.8228409198722642,0.8243562314690706,0.8231699703560165,0.0008660830815016324,52
3846.6714720726013,17.247284973241527,0.3832869529724121,0.029503062933251795,800,20,8,0.2,,gini,False,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 8, 'max_features': 0.2, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.8192386438406968,0.8053691444657447,0.8186141317823576,0.8144073066962664,0.006396029299842944,74
1453.6021482944489,9.385315869842335,0.2908191680908203,0.014578171350308715,500,5,1,0.1,,gini,False,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.1, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}",0.8508247601770946,0.8315062113410971,0.8393844136522501,0.8405717950568139,0.00793132978476846,4
269.0578806400299,0.9655401195249591,0.4602232774098714,0.025166313897239175,800,5,2,0.02,60,gini,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': 60, 'criterion': 'gini', 'bootstrap': True}",0.8302491988809001,0.8277535981092479,0.8264029525625007,0.8281352498508828,0.0015932453722658766,35
416.8341133594513,1.8180886251435606,0.4512329896291097,0.0165861126054525,800,20,2,sqrt,80,entropy,False,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'entropy', 'bootstrap': False}",0.8285792185543375,0.8286248837322252,0.8173127518207324,0.8248389513690983,0.0053218593905066695,46
82.24230400721233,0.15288664802071766,0.17511971791585287,0.013712661654157828,300,10,8,0.02,60,gini,True,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.02, 'max_depth': 60, 'criterion': 'gini', 'bootstrap': True}",0.8212565745085136,0.8141251321985026,0.8101892618751143,0.8151903228607101,0.0045805622356133524,70
28.00966191291809,0.08378527835840208,0.24500624338785806,0.009930738486276626,300,5,1,log2,40,entropy,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False}",0.8188672724486511,0.8157578091395767,0.8073754541798539,0.8140001785893606,0.0048533439086918964,78
287.8288953304291,1.271823590327123,0.30262557665507,0.011523704389843051,500,10,1,0.02,40,gini,False,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.02, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}",0.8350875336292981,0.8361067313417915,0.8290761604874725,0.8334234751528541,0.003102047667178256,22
25.733773310979206,0.04550292631864347,0.21362988154093424,0.007799350806370688,300,5,4,log2,60,entropy,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 60, 'criterion': 'entropy', 'bootstrap': False}",0.8165940442715243,0.8140242051590783,0.7984711970121462,0.8096964821475829,0.008006509353638724,85
172.24806690216064,1.1160132198711012,0.4196956952412923,0.0026444158149238907,800,20,1,sqrt,80,gini,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 80, 'criterion': 'gini', 'bootstrap': True}",0.8282261733105856,0.8218977502070705,0.8231852361340971,0.8244363865505844,0.002730844529662715,48
266.62023361523944,0.8096705230723333,0.46326859792073566,0.025403243003715614,800,5,2,0.02,20,gini,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 0.02, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': True}",0.8316092548562201,0.8298685875088978,0.824426883486837,0.8286349086173183,0.0030592033088785234,33
262.41832280158997,0.8438797302123405,0.4720393816630046,0.022690387220011744,800,5,2,sqrt,20,entropy,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': True}",0.8306244145108209,0.8215701479529376,0.8171946121991137,0.823129724887624,0.005592501389914214,53
